id,name,surname,registration_date,age,education
490,Silvia,Nitto,2023-03-19,27,Bachelor's Degree
491,Gloria,Piane,2023-05-02,41,Master's Degree
492,Melina,Bonino,2019-01-18,19,Ph.D.
493,Nino,Galvani,2022-12-30,51,Secondary School
494,Paoletta,Monduzzi,2020-12-06,36,High School
495,Lucia,Baresi,2019-11-08,22,Primary School
496,Martino,Agnesi,2019-07-22,23,High School
497,Arnulfo,Galtarossa,2019-05-02,57,Master's Degree
498,Ruggiero,Paolucci,2022-07-28,44,High School
499,Maria,Deledda,2023-04-14,18,High School
500,Annunziata,Chindamo,2019-06-16,33,Primary School
501,Aria,Rocca,2020-01-16,20,Primary School
502,Geronimo,Bernardini,2020-02-25,60,High School
503,Stella,Rienzo,2019-01-10,40,Ph.D.
504,Adele,Luzi,2022-04-24,56,Master's Degree
505,Gionata,Scarfoglio,2020-05-15,53,Secondary School
506,Edoardo,Albertini,2020-10-24,48,Master's Degree
507,Luchino,Speri,2022-09-20,23,Primary School
508,Luchino,Volta,2021-11-22,33,High School
509,Serafina,Chiaramonte,2021-01-30,52,Bachelor's Degree
510,Orlando,Stoppani,2023-08-16,43,Primary School
511,Giuliano,Bodoni,2023-08-02,60,Bachelor's Degree
512,Franco,Giammusso,2021-11-09,42,Secondary School
513,Simonetta,Boccioni,2018-03-02,59,Master's Degree
514,Pasquale,Camuccini,2020-04-22,31,Ph.D.
515,Liana,Polizzi,2020-09-18,57,High School
516,Eleanora,Modigliani,2019-09-10,42,High School
517,Lidia,Nicoletti,2023-09-15,24,Ph.D.
518,Biagio,Praga,2020-03-28,53,Ph.D.
519,Romina,Tagliafierro,2021-09-30,41,Secondary School
520,Clelia,Callegaro,2020-10-09,24,Secondary School
521,Ivo,Maspero,2020-02-15,36,High School
522,Victoria,Colletti,2021-12-02,35,Master's Degree
523,Clelia,Disdero,2018-02-07,22,Secondary School
524,Stefania,Malipiero,2018-06-23,22,Ph.D.
525,Lauretta,Ferraris,2017-11-23,44,Secondary School
526,Gino,Cimini,2021-09-08,32,Ph.D.
527,Evangelista,Antonacci,2018-07-24,22,Master's Degree
528,Federica,Vianello,2019-08-13,54,Ph.D.
529,Bianca,Calgari,2018-11-07,58,Master's Degree
530,Stefani,Montesano,2018-03-08,44,Bachelor's Degree
531,Monica,Renier,2018-12-06,32,Bachelor's Degree
532,Laureano,Bignardi,2018-03-06,48,Master's Degree
533,Gabriella,Bernini,2018-07-19,56,Secondary School
534,Ermanno,Caracciolo,2022-12-30,37,Bachelor's Degree
535,Armando,Palombi,2023-07-01,35,Primary School
536,Rosaria,Maderna,2021-06-09,56,High School
537,Donatello,Malaparte,2022-07-19,29,Bachelor's Degree
538,Ernesto,Tropea,2021-10-06,19,Secondary School
539,Tiziana,Antonini,2022-08-27,25,High School
540,Romolo,Draghi,2022-05-04,54,Master's Degree
541,Filippa,Beffa,2022-01-15,56,Master's Degree
542,Ippazio,Sanudo,2018-04-01,29,Bachelor's Degree
543,Carla,Carfagna,2022-09-25,30,High School
544,Nadia,Cociarelli,2018-09-14,56,Primary School
545,Gianluigi,Tolentino,2022-06-15,59,Ph.D.
546,Gaspare,Boezio,2021-10-11,39,Ph.D.
547,Gioachino,Trotta,2023-10-12,22,Primary School
548,Matteo,Napolitano,2022-09-27,49,Secondary School
549,Piermaria,Pirelli,2021-10-20,51,Primary School
550,Bianca,Ceci,2020-08-12,38,Secondary School
551,Cipriano,Franzese,2022-03-24,47,Ph.D.
552,Sebastiano,Tartini,2019-09-27,42,Secondary School
553,Loretta,Bevilacqua,2020-06-26,57,Bachelor's Degree
554,Ottone,Monteverdi,2020-08-28,24,Primary School
555,Vincenza,Letta,2022-10-16,30,Ph.D.
556,Emilio,Iannelli,2020-08-23,28,Primary School
557,Costanzo,Sforza,2019-11-22,23,High School
558,Ninetta,Niscoromni,2023-02-26,27,High School
559,Damiano,Pascarella,2017-11-05,57,Primary School
560,Liberto,Randazzo,2021-01-07,54,Bachelor's Degree
561,Pier,Squarcione,2018-01-22,38,Secondary School
562,Alfredo,Zabarella,2017-11-20,53,Master's Degree
563,Geronimo,Pedrazzini,2021-08-27,58,Primary School
564,Luca,Novaro,2021-02-17,41,Primary School
565,Ronaldo,Finotto,2023-01-30,22,Secondary School
566,Milena,Gregori,2018-03-28,31,High School
567,Niccolò,Mancini,2021-12-30,41,Secondary School
568,Ludovico,Paganini,2020-08-24,47,Ph.D.
569,Nico,Crispi,2019-01-29,23,Secondary School
570,Pierangelo,Buonauro,2019-09-20,43,Master's Degree
571,Ottavio,Ruberto,2022-09-23,47,Bachelor's Degree
572,Alina,Argento,2022-07-30,18,Primary School
573,Annetta,Agazzi,2022-11-24,56,High School
574,Vincentio,Peruzzi,2021-05-14,26,Ph.D.
575,Rocco,Scalera,2023-01-08,18,Bachelor's Degree
576,Lauretta,Cibin,2023-05-05,42,High School
577,Rosina,Pavarotti,2018-07-19,22,Bachelor's Degree
578,Luisa,Vecellio,2023-10-02,36,Primary School
579,Melina,Ruggeri,2018-10-13,25,Bachelor's Degree
580,Teresa,Vecellio,2018-07-03,40,Ph.D.
581,Carmelo,Giannotti,2022-12-03,30,High School
582,Fortunata,Botta,2021-05-28,42,Secondary School
583,Patrizio,Manolesso,2021-02-22,36,Bachelor's Degree
584,Luciano,Ferrabosco,2018-01-08,59,Ph.D.
585,Graziano,Maffei,2021-10-26,23,Master's Degree
586,Angelina,Gussoni,2018-03-09,25,High School
587,Calogero,Toldo,2022-05-18,44,High School
588,Michelotto,Amaldi,2019-11-13,22,Master's Degree
589,Adamo,Cuda,2022-10-18,45,Primary School
590,Virgilio,Salgari,2021-01-16,32,Bachelor's Degree
591,Enrico,Luciani,2018-02-11,33,High School
592,Serena,Pulci,2018-09-28,60,Ph.D.
593,Erika,Vitturi,2018-01-04,22,Secondary School
594,Barbara,Lupo,2022-09-20,35,Primary School
595,Gianna,Fornaciari,2019-05-21,53,Bachelor's Degree
596,Romana,Fracci,2021-01-08,45,Secondary School
597,Tonia,Ferrazzi,2019-01-17,52,Bachelor's Degree
598,Veronica,Tropea,2019-01-20,33,Primary School
599,Giacomo,Veltroni,2018-07-28,46,High School
600,Alessia,Capone,2017-12-09,26,Primary School
601,Nicola,Luxardo,2022-06-09,18,Secondary School
602,Fernanda,Conti,2022-12-26,41,Primary School
603,Vincentio,Nugnes,2019-01-24,19,High School
604,Rodolfo,Casaleggio,2019-12-13,53,Bachelor's Degree
605,Vincenza,Ginesio,2018-08-18,42,Master's Degree
606,Fedele,Cannizzaro,2020-09-01,23,Primary School
607,Gianfranco,Agostinelli,2023-07-01,31,Secondary School
608,Donatella,Traversa,2022-11-18,46,Primary School
609,Alderano,Zaccagnini,2018-08-02,48,Master's Degree
610,Rita,Polesel,2019-03-29,23,High School
611,Fiorino,Calbo,2022-09-03,56,Ph.D.
612,Luigi,Ferrabosco,2020-10-14,48,Master's Degree
613,Gian,Gualandi,2021-05-04,19,Primary School
614,Bruno,Ferrante,2021-08-15,28,Bachelor's Degree
615,Roberto,Mastroianni,2019-07-16,50,Bachelor's Degree
616,Federico,Taliani,2018-03-09,55,Ph.D.
617,Eva,Sokolov,2023-04-13,59,Master's Degree
618,Sylvia,Agnesi,2022-02-19,58,Master's Degree
619,Clelia,Rosiello,2019-08-13,20,Secondary School
620,Aurora,Foconi,2022-06-11,19,Bachelor's Degree
621,Carolina,Bixio,2023-03-27,44,Bachelor's Degree
622,Fausto,Fibonacci,2022-08-29,42,Primary School
623,Girolamo,Garobbio,2018-12-19,28,High School
624,Guido,Mazzi,2020-12-25,27,High School
625,Donatello,Fogazzaro,2020-09-29,30,Bachelor's Degree
626,Priscilla,Gemito,2023-05-07,22,High School
627,Antonietta,Marconi,2018-03-05,31,Bachelor's Degree
628,Marisa,Galvani,2018-04-02,44,Secondary School
629,Bettina,Squarcione,2019-01-16,35,Secondary School
630,Allegra,Soprano,2021-06-26,48,High School
631,Benvenuto,Bertoli,2023-08-17,36,Primary School
632,Baccio,Cutrufo,2019-12-12,60,Ph.D.
633,Luisa,Barsanti,2018-01-21,25,Secondary School
634,Fredo,Lettiere,2020-11-09,47,Primary School
635,Margherita,Scalfaro,2021-01-01,22,Ph.D.
636,Sophia,Mastroianni,2020-11-22,42,Primary School
637,Angelo,Venditti,2019-11-03,44,Secondary School
638,Melina,Pasqua,2020-08-27,30,Ph.D.
639,Irma,Fuseli,2023-02-15,19,Ph.D.
640,Romolo,Peano,2018-12-08,49,High School
641,Gianna,Morpurgo,2020-04-05,56,Bachelor's Degree
642,Vito,Carli,2019-11-27,26,Bachelor's Degree
643,Pompeo,Agostinelli,2020-03-07,33,Primary School
644,Ermenegildo,Mascagni,2022-05-15,41,Master's Degree
645,Cipriano,Inzaghi,2018-06-27,19,Primary School
646,Nina,Piane,2020-11-13,29,Bachelor's Degree
647,Michele,Fanucci,2019-08-07,23,High School
648,Tina,Trapani,2020-05-04,26,Ph.D.
649,Giorgia,Oliboni,2021-03-01,41,High School
650,Baldassare,Pisani,2021-07-31,31,Secondary School
651,Veronica,Piccinni,2022-09-01,36,Master's Degree
652,Isabella,Parpinel,2020-07-11,53,Primary School
653,Benito,Grasso,2018-04-01,36,Primary School
654,Donatella,Gregori,2022-07-14,24,Ph.D.
655,Sandro,Camiscione,2018-10-02,43,High School
656,Annibale,Bodoni,2021-11-23,37,High School
657,Serafina,Tamburini,2019-12-17,48,Master's Degree
658,Gianluigi,Bragaglia,2020-04-03,55,Bachelor's Degree
659,Sergius,Venier,2023-06-15,33,Master's Degree
660,Livia,Gioberti,2023-09-04,26,High School
661,Piergiorgio,Bottaro,2020-01-29,19,Master's Degree
662,Gioacchino,Beffa,2020-06-29,18,Ph.D.
663,Ludovica,Bonino,2019-12-25,42,Secondary School
664,Caterina,Cocci,2020-05-11,33,Bachelor's Degree
665,Salvatore,Bernini,2021-10-30,60,Ph.D.
666,Paolo,Bembo,2021-04-23,21,Primary School
667,Federico,Condoleo,2019-09-02,18,Secondary School
668,Osvaldo,Parpinel,2020-05-10,44,Secondary School
669,Romina,Vanvitelli,2023-03-15,50,Ph.D.
670,Armando,Fagotto,2019-01-19,57,Secondary School
671,Caterina,Boitani,2021-07-17,37,Primary School
672,Manuel,Morucci,2023-09-13,50,Secondary School
673,Emma,Fantoni,2020-11-04,20,Ph.D.
674,Gioele,Valier,2020-04-30,42,High School
675,Dolores,Condoleo,2019-02-06,19,Master's Degree
676,Annamaria,Mogherini,2022-06-26,37,Bachelor's Degree
677,Gelsomina,Seddio,2021-07-10,46,Primary School
678,Annalisa,Mercadante,2018-11-07,59,Primary School
679,Paloma,Foconi,2021-11-15,41,Master's Degree
680,Vincenza,Antonetti,2022-08-07,51,High School
681,Berenice,Montanari,2021-10-24,55,Master's Degree
682,Raffaellino,Segrè,2019-10-30,42,Bachelor's Degree
683,Susanna,Filippini,2019-11-05,37,Secondary School
684,Ettore,Villarosa,2020-07-02,55,Ph.D.
685,Luisa,Metella,2020-03-11,22,Ph.D.
686,Arturo,Vismara,2021-08-14,46,Primary School
687,Liliana,Golino,2022-05-31,31,Master's Degree
688,Paolo,Desio,2022-07-16,57,Bachelor's Degree
689,Gianpietro,Tarantini,2022-08-19,24,Master's Degree
690,Marisa,Gori,2022-11-09,37,Master's Degree
691,Alfio,Querini,2020-04-19,41,Bachelor's Degree
692,Alfredo,Bocelli,2020-08-04,26,Bachelor's Degree
693,Sophia,Mantegna,2017-11-29,40,Primary School
694,Calogero,Aulenti,2023-10-23,49,Primary School
695,Carmelo,Sforza,2020-11-01,54,Master's Degree
696,Giada,Tasca,2020-07-29,31,Master's Degree
697,Gionata,Ricci,2022-04-23,47,Primary School
698,Renata,Marcacci,2020-03-28,21,Ph.D.
699,Alphons,Fuseli,2020-11-08,23,Primary School
700,Azeglio,Samele,2019-12-16,39,Secondary School
701,Veronica,Parpinel,2017-12-25,41,High School
702,Coriolano,Dallara,2023-06-28,34,High School
703,Fausto,Chiesa,2017-11-14,48,Secondary School
704,Lazzaro,Cabibbo,2021-07-27,25,High School
705,Giovanna,Siffredi,2021-06-28,34,Primary School
706,Ornella,Brugnaro,2021-04-22,58,High School
707,Edoardo,Ritacca,2023-10-11,42,Secondary School
708,Giacomo,Musatti,2021-09-21,58,Secondary School
709,Guglielmo,Innocenti,2023-06-16,34,Master's Degree
710,Eugenia,Scotto,2018-10-18,46,Secondary School
711,Tatiana,Porzio,2020-08-04,56,Secondary School
712,Nanni,Soprano,2019-05-11,54,Primary School
713,Laura,Chindamo,2019-07-05,40,Master's Degree
714,Victoria,Cilibrasi,2018-12-03,25,Primary School
715,Serena,Gentili,2022-05-03,47,Primary School
716,Rosario,Tutino,2021-09-14,57,Bachelor's Degree
717,Fredo,Bataglia,2017-11-08,59,Primary School
718,Fausto,Taliani,2022-12-03,19,Master's Degree
719,Emma,Piccio,2020-09-13,44,Primary School
720,Bruno,Ceri,2019-07-08,44,Ph.D.
721,Cassandra,Treves,2022-04-28,51,Master's Degree
722,Maria,Crispi,2018-04-29,46,Master's Degree
723,Donatella,Olivetti,2019-11-17,54,Secondary School
724,Camilla,Cristoforetti,2019-01-04,52,Ph.D.
725,Gianmarco,Tozzo,2023-06-24,25,Ph.D.
726,Cecilia,Blasi,2019-09-08,22,Ph.D.
727,Isabella,Farinelli,2020-12-12,55,Primary School
728,Lidia,Moschino,2023-07-31,20,Primary School
729,Agnolo,Moresi,2022-06-07,47,High School
730,Valentina,Palazzo,2023-04-15,59,Master's Degree
731,Simone,Colletti,2019-07-15,52,Ph.D.
732,Lucia,Michelangeli,2018-08-15,22,Ph.D.
733,Milo,Morosini,2022-09-05,35,Primary School
734,Goffredo,Prada,2022-01-07,43,High School
735,Matilda,Fischetti,2023-03-05,34,Bachelor's Degree
736,Venancio,Manunta,2019-01-08,37,High School
737,Melissa,Gibilisco,2020-09-26,18,High School
738,Benedetto,Cuomo,2022-09-06,51,Ph.D.
739,Gianluca,Gonzaga,2020-01-14,49,Bachelor's Degree
740,Piero,Roth,2018-12-20,42,Secondary School
741,Nino,Tarantini,2022-08-09,59,Secondary School
742,Liliana,Muratori,2017-12-16,34,High School
743,Roberto,Smirnoff,2019-04-16,57,Secondary School
744,Annalisa,Babati,2017-11-21,47,Primary School
745,Luciano,Comolli,2022-05-06,27,High School
746,Giulio,Rizzoli,2018-11-27,23,Ph.D.
747,Ranieri,Malipiero,2018-03-21,45,Bachelor's Degree
748,Ugo,Mazzini,2023-09-26,57,Master's Degree
749,Gian,Tamborini,2018-06-21,59,Bachelor's Degree
750,Giosuè,Tencalla,2020-06-24,29,Secondary School
